source,row_index,text_sha256
official_train,714814,46ba6afeee606410b2055523c2952d91052a776664dd3aa428f01276abe6d524
official_train,1995544,dd472ea077a9f18ad07bc36e5402bcbf7ccade3b9a1eae05832dc521d1a19d7b
official_train,1669660,f6ea278cb2d960f94e0ae4d4ee6940c00d78dcb33096d35b391a8e9320751389
official_train,1493626,afd73dcf2dd8bb1f9341703c46d0c257952e22bb272aac2d4b6b60022982d967
official_train,1843761,d596f13f09203d8107faebe1280706ed4091eced03b263d333fbe86517b23632
official_train,2273792,958138e5bb9d871554e24203ecb2b4eaaff55dcf7416f13b2fad60e1d7e5f542
official_train,32803,e6350b6ac0c8f5620399f0b9c3d2d3919339fbf11151e8eda2ec0d50e18bde39
official_train,1383844,57b0088467732c8525a303e9346321a50d630d2b8e810bfb402897913d584c52
official_train,2923018,e7948f18faf5a7233a919e433d23c728ce8c31f224896cb8b31faaa62db0e8f7
official_train,2362850,58790d7e4b0a8e226e7992bf36f9527d0993417756643df792f58d97e2052507
official_train,3133646,0fb90893a63a5b75961819108f25d213bf18d6bceb129b703c0f2778fcf84a26
official_train,2887659,ad0b14a1ecae20943d6dd8491ee4ebfefc6aabb3ead176a696bc36b076bc7ac3
official_train,1407778,b9d8ad8fa7e02fe1b952628b13ead1037b579c6981982dee47e4deae67b97e2d
official_train,1604768,abb3484b5249c3ac699c912997a4048bbbcde99094b548ed684edf9e6afa5a6b
official_train,2087000,7cfc0c38b1d9e98937252780b4f8c9a9e7ee27275696479dca73a8bfccf8a641
official_train,2910733,c8f372191438de2848529c1382c573ca3165e5f92a0099996b70154c0e5bd05c
official_train,329610,97671368215d4a85158eb13fefd43608f25b8bbc8806e551017605db5a58a225
official_train,759021,cc96ca91e119c01e2aaf9e6466940967e459c7e9f388476b2c1d126e01f10d37
official_train,3482413,84fd37df56535fef19ae101618da863058b695050ce145fd03580c13de57301b
official_train,2802769,c4643455a14d7c0fa039432d879c0069e7bb39b49844f35a8a8e0d61e2a1c9cf
official_train,2451786,d19dc1038d2e76bc95ad036fb8818ad264a192f639c9294d2574906f555e3561
official_train,519643,383be1a1ae373c896acd53bf803b5b22254b232633f026d1221bcdae03305256
official_train,3110104,7537db792b92203f83ba5694dba4501fdd26800b3b65a52df9f1f4d7239c60e1
official_train,2717907,4a570b9407adb72edb5be34de2f1d891dd14b65ba5a0dd4326b37cf360f018fa
